brand,model,memory_size,manufactoring_year,os_version,color,price,original_price,source,status,description
Apple,iPhone 6,64,2020,iOS 14.6,Cyan,13170000,,retailer,Sold,
HTC,HTC Butterfly 3,64,2015,Android 8.0,White,8030000,,store,Sold,Some notes
OPPO,Oppo F19,32,2018,ColorOS 8.1,Silver,18910000,,store,Active,
OPPO,Oppo A5,16,2014,ColorOS 7.2,Yellow,14905000,,retailer,Sold,
Apple,iPhone X,32,2017,iOS 11.4,Silver,12520000,,store,Inactive,
HTC,HTC 10,256,2017,Android 10.0,Green,16140000,,unknown,Inactive,Phone just likes new
Samsung,Galaxy A22,128,2015,Android 7.0,Yellow,8650000,,retailer,Sold,
OPPO,Oppo A5,32,2015,ColorOS 11,Purple,18005000,,store,Active,Phone just likes new
OPPO,Oppo Reno 3 Pro,16,2016,ColorOS 11,Blue,16570000,,store,Inactive,
OPPO,Oppo A54,32,2019,ColorOS 7.2,Blue,13965000,,store,Active,
OPPO,Oppo A54,16,2020,ColorOS 7.2,Cyan,19825000,,unknown,Active,
HTC,HTC Butterfly 3,256,2016,Android 8.1,Red,16770000,,retailer,Inactive,Some notes
OPPO,Oppo F19,128,2014,ColorOS 7.2,Yellow,9685000,8925000,unknown,Inactive,I don't know and don't care
OPPO,Oppo A54,16,2014,ColorOS 7.2,Green,18925000,,retailer,Inactive,
Samsung,Galaxy Note20,16,2017,Android 9.0,Cyan,14595000,,store,Active,
HTC,HTC Butterfly 3,256,2020,Android 8.1,Blue,8705000,,unknown,Sold,
Samsung,Galaxy A22,32,2018,Android 9.0,Red,12635000,,retailer,Inactive,
Xiaomi,Redmi Note 10T,128,2014,Android 10.0,Blue,19155000,18220000,retailer,Sold,
Xiaomi,Redmi Note 10 5G,32,2015,Android 7.0,White,12735000,,retailer,Inactive,Some notes
HTC,HTC 10,64,2015,Android 11,Purple,12340000,,unknown,Sold,
Apple,iPhone X,32,2015,iOS 13.7,Black,11515000,11165000,store,Sold,
Xiaomi,Redmi Note 10 5G,128,2017,Android 11,Green,9395000,,retailer,Active,
Xiaomi,Redmi Note 10 5G,64,2014,Android 11,Green,8665000,,retailer,Inactive,
Apple,iPhone 4S,16,2020,iOS 11.4,Green,18895000,,store,Sold,
Xiaomi,Redmi Note 10T,16,2020,Android 8.0,Black,12760000,,retailer,Sold,
Xiaomi,Redmi Note 10 5G,256,2014,Android 11,Red,11715000,,unknown,Active,Some notes
HTC,HTC Butterfly 3,128,2018,Android 10.0,Red,18025000,,store,Active,
OPPO,Oppo A5,16,2014,ColorOS 11,Silver,9030000,,unknown,Active,
Xiaomi,Redmi Note 10T,64,2014,Android 7.0,Yellow,19065000,,retailer,Inactive,Some notes
Samsung,Galaxy M32,256,2020,Android 9.0,Green,14260000,,retailer,Active,
Apple,iPhone X,32,2017,iOS 13.7,Black,8680000,,unknown,Inactive,
OPPO,Oppo Reno 3 Pro,16,2016,ColorOS 7.2,Silver,17390000,,retailer,Active,Phone just likes new
Xiaomi,Mi 10 Pro,16,2015,Android 8.0,Black,19030000,16510000,store,Active,
HTC,HTC 10,128,2019,Android 9.0,Green,19590000,,store,Sold,
Samsung,Galaxy M32,128,2019,Android 8.1,Black,15015000,,store,Active,
Xiaomi,Redmi Note 10 5G,32,2018,Android 11,White,13490000,,retailer,Sold,
Xiaomi,Redmi Note 10 5G,256,2017,Android 10.0,Cyan,13555000,,store,Active,
HTC,HTC 10,64,2020,Android 8.0,Blue,13970000,,store,Active,
Samsung,Galaxy Note20,64,2020,Android 7.0,Green,14955000,,retailer,Sold,
HTC,HTC Butterfly 3,32,2015,Android 9.0,Cyan,13470000,,store,Active,Phone just likes new
Xiaomi,Mi 10 Pro,16,2018,Android 7.0,Green,13135000,,store,Sold,
Xiaomi,Redmi Note 10T,256,2016,Android 11,Blue,12895000,,unknown,Active,
Apple,iPhone X,32,2020,iOS 11.4,Red,14075000,,store,Active,I don't know and don't care
Xiaomi,Mi 10 Pro,128,2019,Android 8.0,Black,19405000,,retailer,Sold,
Apple,iPhone 5,256,2015,iOS 11.4,Blue,19725000,18310000,unknown,Inactive,Phone just likes new
Samsung,Galaxy A12,32,2014,Android 11,Cyan,16190000,,retailer,Inactive,
Xiaomi,Mi 10 Pro,256,2016,Android 8.1,Green,17310000,,retailer,Sold,Some notes
HTC,HTC Butterfly 3,64,2020,Android 10.0,White,11190000,,retailer,Sold,Phone just likes new
HTC,HTC 10,256,2014,Android 10.0,Purple,11920000,11840000,unknown,Inactive,
OPPO,Oppo Reno 3 Pro,128,2015,ColorOS 7.2,Cyan,10595000,,store,Inactive,
OPPO,Oppo A5,64,2019,ColorOS 8.1,Yellow,10065000,,store,Active,
